# 1:t 2:pos.x 3:pos.y 4:pos.z 5:volume 6:rho 7:vel.x 8:vel.y 9:vel.z 10:p 11:a 12:mu 13:k 14:mu_t 15:k_t 16:S 17:tke 18:omega 19:massf[0]-H2 20:massf[1]-O2 21:massf[2]-N2 22:dt_chem 23:u 24:T 
1.050000000000000138e-08 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243941235486201946e-03 -4.270481756873071235e-08 -6.207363377412694258e-19 0.000000000000000000e+00 3.844999853781280876e+02 3.203243641448204926e+02 1.619291387851196551e-05 2.290592534966433627e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.200000000000000011e-01 7.800000000000000266e-01 -1.000000000000000000e+00 -1.180062126667645935e+05 2.539999903199594087e+02
2.175000000000000285e-08 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243941239713524431e-03 -4.090000740972343796e-07 -1.225711238080102809e-18 0.000000000000000000e+00 3.844999861067051370e+02 3.203243643187977909e+02 1.619291389275465511e-05 2.290592537070178930e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.200000000000000566e-01 7.799999999999999156e-01 -1.000000000000000000e+00 -1.180062124668916658e+05 2.539999905964978950e+02
3.075000000000000734e-08 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243941248580578224e-03 -1.090060287896126544e-06 -1.808843615629200309e-18 0.000000000000000000e+00 3.844999876074653002e+02 3.203243646723076949e+02 1.619291392169484357e-05 2.290592541344844621e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.199999999999999734e-01 7.800000000000000266e-01 -1.000000000000000000e+00 -1.180062120607637044e+05 2.539999911584051517e+02
4.087500000000000040e-08 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243941266572973124e-03 -2.332467294895819350e-06 -2.586771143567317453e-18 0.000000000000000000e+00 3.844999906064968513e+02 3.203243653704225835e+02 1.619291397884619957e-05 2.290592549786496859e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.199999999999999734e-01 7.800000000000000266e-01 -1.000000000000000000e+00 -1.180062112587382144e+05 2.539999922680650570e+02
5.100000000000000669e-08 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243941294500603818e-03 -4.082742687590604147e-06 -3.090105620649023404e-18 0.000000000000000000e+00 3.844999952017186615e+02 3.203243664291575215e+02 1.619291406551979796e-05 2.290592562588789072e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.199999999999999734e-01 7.800000000000000266e-01 -1.000000000000000000e+00 -1.180062100424163800e+05 2.539999939509337139e+02
6.112500000000001298e-08 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243941333940460581e-03 -6.337910849779552998e-06 -2.333541068803551017e-18 0.000000000000000000e+00 3.845000016197020614e+02 3.203243678946200248e+02 1.619291418549025473e-05 2.290592580309259649e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.200000000000000011e-01 7.800000000000000266e-01 -1.000000000000000000e+00 -1.180062083588278329e+05 2.539999962802994276e+02
7.125000000000001928e-08 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243941385588560440e-03 -9.047320142883745239e-06 -2.836275903700413441e-18 0.000000000000000000e+00 3.845000099484108205e+02 3.203243697821578735e+02 1.619291434001402807e-05 2.290592603133492430e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.199999999999999734e-01 7.800000000000000266e-01 -1.000000000000000000e+00 -1.180062061903402064e+05 2.539999992805578870e+02
8.075102617285158621e-08 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243941444557879451e-03 -1.192105325775424498e-05 -8.228862239567257255e-18 0.000000000000000000e+00 3.845000193955245322e+02 3.203243719114052510e+02 1.619291451432540246e-05 2.290592628880493836e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.199999999999999456e-01 7.800000000000000266e-01 -1.000000000000000000e+00 -1.180062037441659195e+05 2.540000026650157565e+02
9.025205234570315315e-08 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243941514351475701e-03 -1.508026214341015014e-05 -1.459886229366807846e-17 0.000000000000000000e+00 3.845000305168207433e+02 3.203243744065944725e+02 1.619291471859470250e-05 2.290592659052486865e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.199999999999999734e-01 7.800000000000000266e-01 -1.000000000000000000e+00 -1.180062008775813010e+05 2.540000066311415310e+02
1.045035916049805036e-07 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243941638499445383e-03 -2.021186784425391868e-05 -2.497444484378042333e-17 0.000000000000000000e+00 3.845000502029726022e+02 3.203243788049958312e+02 1.619291507867094609e-05 2.290592712238250298e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.199999999999999456e-01 7.800000000000001377e-01 -1.000000000000000000e+00 -1.180061958245016722e+05 2.540000136224402354e+02
